질문,답변
복합비료를 물에 녹여서 관주용으로 시비해도 되나요?,"복합비료를 물에 녹이면 비료의 부자재 성분인 증량제나 코팅제 등이 물에 완전히 녹지 않아 찌꺼기가 생길 수 있으며, 
이로 인해 관주처리 시 노즐의 구멍이 막힐 수 있습니다.
관주 설비를 오래 사용하기 위해서는 용해도가 높은 관주용 비료를 사용하는 것이 좋습니다.
당사의 관주용 비료 ‘S-Feed(에스피드)’는 고순도의 원료를 사용하여 용해도가 높고 고품질 작물 생산에 효과가 좋습니다."
비료의 유효기한 및 생산일자를 어디에서 확인할 수 있나요?,"비료 포대 뒷면에 생산일자가 기재되어 있으며, 사용에 불편함만 없다면 별도의 유효기한은 없습니다. 
단, 유기질비료(목록공시제품)는 유효기간이 2년으로 유효기간 내에 제품을 사용하는 것이 좋습니다."
비료 성분 표기 중 칼리는 어떤 종류의 칼리인가요?,"비료 제품의 칼리 표기에서 '( )'는 황산칼리, '< >'는 질산칼리, '[ ]'는 30~40% 황산칼리, 괄호가 없으면 염화칼리입니다."
요소비료 중 '프릴'과 '그래뉼'의 차이점은 무엇인가요?,"요소비료는 입자의 크기에 따라 '프릴'과 '그래뉼'로 구분되는데, '프릴'은 입자의 크기가 1~3mm이고, '그래뉼'은 입자의 크기가 2~4mm입니다.
두 가지 모두 질소 성분은 46%로 동일합니다."
작년에 구입하여 사용하고 남은 못자리 상토가 있는데 올해 사용해도 되나요?,"작년에 사용하다 남은 상토는 사용하지 않는 것이 좋습니다.
1년 동안 보관하면서 외부환경의 영향(온도, 습도의 변화 등)을 받기 때문에 흡수 속도 저하 및 양분 손실 등의 문제가 생길 수 있습니다. 이는 중·후반기 생육에 좋지 못한 영향을 미칠 수 있으니 되도록 토양개량제로 활용해주시고, 부득이하게 사용해야 한다면 복토용으로만 사용하는 것이 좋습니다."
상토 1포대를 대략 몇 개의 육묘상자에 담을 수 있나요?,"중묘를 기준으로 모판 한 상자에는 바닥에 담기는 양이 2ℓ, 복토량이 1ℓ로 총 3ℓ의 상토가 필요합니다. 경량상토의 경우 1포대가 40ℓ이므로 40ℓ를 모판 한 상자당 소요분인 3ℓ로 나누면 대략 13개의 육묘상자에 담을 수 있습니다. 20ℓ로 포장되어 있는 중량 혹은 준경량 상토는 이 절반인 대략 6개의 육묘상자에 담을 수 있습니다."
수도용상토를 원예작물에 사용해도 되나요?,"수도용상토는 원예용상토보다 산성에 가깝고 양분이 높아 채소 종자의 초기 발근에 불리할 수 있으며, 입도가 매우 작아 통기성과 배수성을 저해할 수 있습니다. 이는 작물의 생육 불량으로 이어질 수 있으므로 상토 사용 시에는 원예용과 수도용을 구분하여 각각의 작물에 맞게 사용하여 주시기 바랍니다.
- 원예용상토 : pH 5.5~7.0 / EC 1.2 이하 / 유기물 및 펄라이트, 질석 등 알갱이가 굵은 원료를 사용해 통기성, 배수성이 우수
- 수도용상토 : pH 4.5~5.8 / EC 2.0 이하 / 제오라이트, 세립질석 등 알갱이가 작은 원료를 사용(중량상토의 경우는 광물질 위주)"
상토의 유효기한 및 생산일자를 어디에서 확인할 수 있나요?,"상토 포대 뒷면에 생산일자와 유효기한이 기재되어 있습니다.
수도용 경량·준중량 상토의 경우 유효기한이 보통 10개월~1년이며, 중량 상토의 경우 유효기한이 2년입니다.
원예용 상토의 경우 유효기한이 보통 1년이며, 유통기한이 지난 상토는 사용하지 않는 것이 좋습니다."
벼 생육 온도,"발아적온 : 30~32℃

출아적온 : 25~30℃

활착기 : 25~38℃

분열기 : 25~30℃

감수분열기 : 30~32℃

개화적온 : 30~35℃

등숙적온 : 21~22℃"
벼 생육 단계,"영양생장기 → 생식생장기 → 등숙기

- 생육기간 장단에 따라 조생종·중생종·중만생종으로 구분
- 생육기간 차이는 주로 영양생장 기간의 차이에 의해 결정"
고품질 쌀 재배 요령,"품종 선택 및 적기 재배

- 지역생태와 품종의 숙기를 고려하여 품종을 선택함.
- 완전미 수량 확보를 위한 품종을 선택함.
- 적기 이앙시기를 준수함.
표준시비 준수

- 10a당 질소 9kg을 시비함(평야지 보통 논).
- 시비 처방에 의한 질소비료를 사용함.
병해충 방제

- 품질에 영향을 주는 병해충을 집중 방제함.
- 시용시기를 준수하고 예방 위주의 사전 방제를 철저히 함.
적기 수확

- 적기 수확 시 불완전미의 발생 경감으로 품질이 향상됨.
수확 후 관리

- 품종별 숙기 및 유형별 건조 방법을 준수함.
(건조온도 40~50℃, 수분함량 15%, 저장온도 15℃ 정도)"
복숭아 재배적지,"토심이 깊고 배수가 양호한 양토 또는 사양토

산성 토양 : pH 4.9~5.2

사방이 산으로 막힌 분지는 개화 전후 늦서리 피해를 받기 쉬움."
복숭아 생리적 특성,"꽃눈 분화기 : 7월 하순~8월 하순

눈은 홑눈과 겹눈이 있으며, 겹눈인 경우 대체로 꽃눈 2개, 잎눈 1개가 정상임.

자가결실률이 양호함.

꽃가루 없는 품종은 꽃가루 많은 품종과 혼식해야 함."
복숭아 고품질 다수확 재배 기술,"시비 : 토양 분석에 의한 유기물 및 석회 시용

(유기물 2.5~3.0% 유지)
심경에 의한 토양 이화학 개선, 심토 파쇄기 이용

수세에 알맞은 전정 (과도한 강전정은 피함.)

열매솎기(적과) : 개화 2주 전 적뢰작업 실시, 2~3회 열매솎기함.

수확 후 낙엽기까지 복숭아굴나방, 세균성구멍병 등 병해충 방제"
사과 생육환경,"평균 기온 : 8~11℃ (6℃ 이상~14℃ 이하) 

생육적온 : 18~24℃

30℃ 이상 : 과실 비대, 꽃눈 형성 불량
과실 성숙기 생육적온 : 20~25℃

착색적온 : 일 평균 12~13℃
야간 평균 기온 : 8℃ 전후
일조시간 : 2,300시간

강수량 : 1,300mm 이하"
사과 토양조건,"토성 : 양토~사양토

작토 깊이 : 1m 이상

토양 경도 : 18mm 이하 (24mm 이상 : 장해 발생)

투수성 : 2.7mm/시간 "
고품질 사과 생산 기술,"토양 관리

- 토양검정에 따른 시비량 조절로 수세가 안정될 수 있도록 함.
- 초생 재배 체계를 확립함.
- 생육기별 적정 수분을 관리함.
사과 상품 비율 향상

- 소질이 우수한 결과지를 갱신하고 광환경을 개선함.
- 방화곤충 + 인공수분
- 적정 잎 수 기준으로 순차적으로 적과함.
사과 친환경 병해충 종합관리

- 성페로몬 트랩 등을 이용한 예찰로 적기에 방제함."
배 생육 온도,"생육적온 : 20℃ 내외

동해온도(휴면기) : 영하 25~30℃

동해온도(개화기) : 영하 1.7~2.8℃ "
배 재배적지,"토심이 깊고 유기물 함량이 많은 곳 

토양산도 : pH 5.5~6.5

바람이 세지 않고 배수가 잘 되며 늦서리 피해가 없는 곳

평지 (경사지 : 15° 미만 재배 가능) "
배 생리적 특성,"꽃 한 과총에서 5~8개의 꽃이 밑에서 차례로 피어 올라감.  3~4번째 꽃에서 열린 과실이 좋음.

꽃눈 분화기는 6월 중순~8월이며 수분수를 20% 이상 섞어 심음.  신고·황금배는 꽃가루가 없으므로 2품종의 수분수가 필요함."
배 재배 기술,"인공수분 : 결실율 및 정형과율 향상, 과중 증대 

점적관수 : 7~10일 간격 20~30㎜

열매솎기(적과) : 3~4 열매 송이에 1과씩 남김.

토양개량 : 심경, 유기물, 석회 시용 등

병해충 방제 : 검은별무늬병, 꼬마배나무이, 응애, 깍지벌레 등"
감 생육 환경,"평균 기온 : 13℃ 이상 

휴면기(12월~익년 2월) 평균 기온 : -1℃ 이상

휴면기(12월~익년 2월) 최저 기온 : -4℃ 이상

성숙기 평균 기온

- 10월 : 15℃
- 11월 : 9℃ 이상
일조 시간 : 2,340시간 이상"
감 착과 특성,"단감은 새가지에서 잎이 핀 후 개화 및 결실하며,  과실은 전년도가지 선단부에서 기부 쪽으로
1~5개 눈에서 발생한 새가지에 착과됨

생리적 낙과가 많기 때문에 결실 조절에 유의해야 하며,  수분수는 반드시 5~10%를 혼식하는 것이 좋음"
감 고품질 과실 생산 기술,"단감원 토양 관리

- 토양검정 및 영양진단 기준에 따른 시비량 조절로 수세 안정
- 오손과 발생 유무에 따라 초생재배 결정
- 생육기별 적정 수분 관리
과실 크기에 따른 결실 조절

- 대과 : 적뢰(5월)
- 중과 : 적뢰(5월) + 적과(6월)
- 소과 : 적과(7월)
- 결실 조절 기준 : 결과모지에 착생된 엽 기준 (15~25엽/과)
돌발성 도장지 예방

- 수고 낮추기는 3~4년에 걸쳐 점진적으로 낮춤
- 굵은 가지를 절단한 나무는 결과모지수를 많이 남김"
고추 생육온도,"발아적온 : 15℃ 이상

육묘적온 : 22~30℃

개화적온 : 18~23℃ 

생육적온 : 20~30℃

과비대적온 : 18~23℃

저장적온 : 4℃"
고추 재배적지,토양 적용 범위는 넓은 편으로 pH 6.1~7.6 범위이나 pH 6.5정도의 중성토양이 적당함. 
고추 생리적 특성,"중일성 작물로 가지과에 속하는 영년생 작물임.

가뭄에 강한 편이나 장마에는 약함(일명 : 한초).

개화 착과 가능온도 : 15.5~28.5℃

주당 300~400화 정도가 개화하여 200화 정도 착과하며, 이중 70~130개 정도 수확이 가능함.

꽃피는 주기 : 1차(7월 상순), 2차(8월 상순), 3차(9월 중순)

붉은 고추 수확이 가능한 개화·결실 한계기 : 중부(8월 하순), 남부(9월 상순)"
고추 주요 기술,"관비재배 : 관행재배 대비 52% 증수, 추비 노동력 69% 절감

높은 이랑 재배 : 평이랑 재배 대비 23~28% 증수

비닐 덮기 재배 : 무피복 대비 20% 증수

역병, 탄저병 방제 : 예방 위주의 적기 방제가 필요함."
배추 생육 온도,"발아적온 : 25~25℃

육묘적온 : 20~22℃

개화적온 : 12℃

생육적온 : 15~20℃,

결구적온 : 15~16℃

저장적온 : 0~3℃"
배추 재배적지,"토양산도 : pH 5.5~6.8 

(산성토양에서는 병해 발생 증가)"
배추 생리적 특성,"저온성 채소로 서늘한 기후를 좋아함

생육 초기에는 고온에 비교적 잘 견디나 결구기에는 내고온성이 약함

종자춘화형의 식물로 12℃이하에서 7일이상 지나면 꽃눈이 분화되고, 고온에 의하여 추대가 촉진됨

자가 불화합성이 있어 계속 자식시키면 세력이 약화됨"
배 주요 기술,"망사터널재배로 바이러스 이병률 감소 :  무피복 100% → 망사터널 0%

비닐 덮기 재배 : 무피복 대비 7~39% 증수

결구기 관수효과 : 자연강우 대비 193~396% 증수

배추 기계화 생력재배 효과  : 관행 대바 노동력 19% 절감 "
마늘 생육 온도,"발아적온 : 15~27℃

생육적온 : 18~20℃"
마늘 재배적지,토양산도 : pH 5.5~6.0
마늘 생리적 특성,"마늘 쪽이 분화되기 위해서는 5℃ 이하에서 30일 이상 경과되어야 함.

25℃ 이상의 고온에서는 생육이 정지됨.

구의 비대는 일장과 온도의 영향을 많이 받는데, 12시간의 장일 조건에서는 구 비대가 촉진되고 단일 조건에서는 구 비대 억제됨."
양파 생육 온도,"발아적온 : 15~25℃

생육적온 : 17℃"
양파 재배적지,"부식질이 풍부하고 배수가 잘 되는 사양토 또는 식양토

토양산도 : pH 6.3~7.3"
양파 생리적 특성,"광이 없는 어두운 조건에서 발아가 잘 됨.

25℃ 이상의 고온에서는 생육 장해가 발생함.

양파의 구 비대에는 일정한 시간 이상의 일장이 있어야 하며, 조생종은 11.5~13시간, 중만생종은 13~14.3시간이 필요함."
파 생육 온도,발아적온 : 15~25℃
파 재배적지,"토심이 깊고 배수가 좋은 토양 

토양산도 : pH 5.7~7.4"
파 생리적 특성,"파는 선선한 기후를 좋아함.

내한·내건성이 있으나 토양 과습에는 매우 약함.

일장이 길어지고 온도가 높아지면 잎 끝이 마르는 증상이 발생함."
파 주요 기술,"적기 파종 및 적정 크기의 묘 정식이 필요함.

정식 후 잡초 및 병해충 방제를 적기에 실시함.

북주기(뿌리나 밑줄기를 흙으로 두둑하게 덮어 주는 일)를 통해 상품성을 향상시킴."
토마토 생육 온도,"발아적온 : 25~30℃

육묘적온 : 20~25℃

개화적온 : 20~25℃

생육적온 : 17~27℃

근비대적온 : 25~30℃

저장적온 : 4℃"
토마토 재배적지,토양산도 pH 6.5~7.0
토마토 생리적 특성,"호온성 채소이나, 고온다습하면 착과불량,  과실비대 부진, 열과, 품질 저하, 병해 발생 증가

육묘기 야간 온도가 12℃ 이하이면 기형과 발생 증가

일장에 대해서는 중일성 작물이나, 꽃눈 분화는 16시간 정도의 장일에서 빨라지고, 제1화방의 착과 절위는 8시간 정도의 단일하에서 낮아짐"
토마토 주요 기술,"밀식재배 (90×50cm → 90×20cm) : 93% 증수

점적관수 재배: 분수관수 대비 6~10% 증수

이산화탄소 시비 : 무시용 대비 32% 증수

어린묘 재배 (9~11엽묘 → 5~6엽묘) : 43% 증수"
수박 생육 온도,"발아적온 : 28~30℃

개화적온 : 15~20℃

생육적온 : 25~30℃

근비대적온 : 20℃

저장적온 : 3~10℃"
수박 재배적지,"토양산도 : pH 5.5~6.8  

심토가 깊은 사질토양"
수박 생리적 특성,"호온성 작물로 고온에서 생육이 양호함.

개화에서 성숙까지의 적산온도 : 800~1,000℃

건조에는 강하나 다습에는 약하여 피해가 발생함.

연작을 싫어하는 기지성(忌地性)이 강한 작물로 반드시 윤작을 해야 함.

덩굴쪼김병 방지를 위해 접목재배를 실시함."
수박 주요 기술,"고밀식 비가림 지주재배 

- 관행 재배 대비 13~68% 증수
여름철 비닐하우스 이용한 비가림재배 시 관수방법 개선

- 생육 전기간 관수 대비 착과율 33% → 82% 향상"
오이 생육 온도,"발아적온 25~30℃

육묘적온 18~25℃

생육적온 20~25℃

근권적온 20~23℃

저장적온 5~10℃"
오이 재배적지,토양산도 pH 5.5~6.8 (pH 4.3 이하에서는 고사)
오이 생리적 특성,"자웅이화 작물로서 성분화에는 온도와 일장이 주로 관여함.

15℃ 정도의 야간 저온과 8~10시간의 단일 조건에서 암꽃 분화가 촉진됨.

단위 결과성이 높은 열매 채소임.

덩굴쪼김병 방제, 저온신장성 및 내서성 강화, 초세유지를 위해 접목 재배함."
오이 주요 기술,"봉지재배로 규격 오이 생산 

- 상품과율 향상 및 선별 노동력 절감
관비재배

- 관행 대비 수량 증수, 염류 집적 감소
일사비례  변온관리 

- 10~25% 증수, 에너지 절감"
(농식품 청년기업 성장펀드) 농식품 청년기업 성장펀드는 어떤 지원사업인가요?,"우수한 기술력과 성장 가능성이 높은 농식품 청년기업이 안정적으로 성장할 수 있도록 정책 펀드 조성을 통해 사업화 자금 등을 지원하는 사업입니다. 
'창업 초기(Start-up)', '사업화(Step-up)', '후속투자 유치(Scale-up)' 등 각 성장단계별 전용 펀드를 통해 민간 투자자(펀드 운용사)에게 인정받은 기업은 기술개발, 사업화 등에 필요한 자금을 지원받을 수 있습니다. 
자세한 사항은 탄탄창업가이드>농식품 청년기업 성장펀드 첨부파일을 확인해 주세요."
(농지은행)농지은행 관련 문의는 어디에 물어봐야 하나요?,농지은행 관련 문의는 농지은행 전용 콜센터(1577-7770) 혹은 농지은행 통합포털(https://www.fbo.or.kr/)을 이용해주시길 바랍니다.
(농지매입 지원사업) 지원사업의 지원 제외 대상은 어떤 경우가 있나요?,"가. 「농어업경영체 육성 및 지원에 관한 법률」제4조에 따라 농업경영정보를 등록하지 않은 경우 
나. 농지 매매 또는 임차임대(과원규모화 포함) 사업의 원리금 연체자, 국세 및 지방세 체납자 등 금융 부담 능력에 대한 경영진-단 실시 결과 부적합자
다. 본인이 안정적인 타 직업에 종사하는 자로서 본인의 농업 외의 종합소득액이 연간 37백만원 이상인 자 
라. 농지가 소재하는 시·군·구 및 그와 연접한 시·군·구 또는 해당 농지까지 직선거리 30km 이내에 거주하는 농업인 이외의 자
마. 허위·담합 등으로 부당 지원을 받거나, 사후관리 위반으로 시정촉구를 받고시정하지 않은 자 
바. 당해 농지의 당초 소유자와 부부, 형제자매 또는 직계존비속인 자 
- 단, 다른 상속인의 상속농지를 매입하고자 하는 자는 지원 가능 
사. 운영자금을 제외한 농지매매사업, 농지구입자금(농협 자금 포함)을 지원받은농업법인의 사원·주주·조합원
아. 농림축산식품부의 경영회생지원농지매입 사업으로 소유농지를 공사에 매도하고 해당농지를 임차 중인 자는 매매사업 지원 불가
- 단, 농지 임차임대 및 비축농지 임대는 지원 가능"
(농지은행) 농지은행이 무엇이며 신청은 어떻게 하는 건가요?,"농지은행이란, 고령은퇴, 이농 및 직업전환, 농업경영에 이용되지 않는 농업인 소유의 농지, 비농업인(상속·이농)의 소유농지 등을 매입하고, 이를 젊은 농업인에게 지원하는 농지지원사업(한국농어촌공사 주관 사업)입니다.

1) 사업신청 방법
- 현장 : 신청인 주소지 관할 한국농어촌공사 지사(1577-7770)
- 온라인 : 농지은행포털(https://www.fbo.or.kr)

2) 사업신청 기간 : 연중
지원사업 종류, 신청서 및 선정기준 등 자세한 사항은 홈페이지(https://www.fbo.or.kr/)를 통해 확인 바랍니다."
(스마트팜 청년창업 보육센터) 스마트팜 청년창업 보육센터 선발대상은 어떻게 되나요?,"전공에 관계없이 스마트팜 영농기술을 배우고자 희망하는 청년은 지원 가능합니다. 

- 사업시행년도 1월 1일 기준 만 18세 이상 ~ 만 39세 이하의 대한민국 국적 소지자 

* 재학생 또는 취업자라도 20개월 교육과정 의무교육시간 이수 가능자는 신청가능

** 스마트팜 청년창업 보육센터 교육 이력(수료 포함)이 있는 경우 지원 불가(단, 교육을 수료하지 않고 불가피한 사유 등으로 중도포기 사유서를 제출·승인받은 경우는 제외)"
(농지은행) 만 40세 이상 청년농업인은 농지은행 농지지원 최우선 순위가 아닌가요?,"청년농업인은 나이 상관없이, 선정 후 5년 동안 맞춤형 농지지원 사업을 최우선 순위로 지원받을 수 있습니다."
(농지은행) 농지은행을 통해 농지매입 시 자부담은 후계농 정책자금으로 납부할 수 있나요?,불가능합니다. 농업정책사업(지방자치단체사업 포함)으로 지원하는 융자 사업(융자+보조 포함)의 자부담분은 후계농 육성자금으로 사용이 불가능합니다.
(청년농업인 영농정착지원) 청년농업인들을 위한 유통판로 지원은 어떤것들이 있나요?,"청년농업인이 안정적인 영농정착을 할 수 있도록 네이버쇼핑, 현대그린푸드 등과 협업하여 유통,판로 개척을 지원해 드리고 있습니다."
농신보에서 개인신용도는 어떤 기준으로 판단하는지?,"내부 고객정보와 대외 신용정보를 활용함

-농신보 신용평가는 내부 고객정보와 외부 신용정보회사의 평가결과를 이용하여 점수를 산출하고 있음

-내부 고객정보는 경력, 농신보 거래내역 등을 종합하여 평가하며, 외부 정보는 복수의 신용정보회사 정보(대출, 카드실적, 연체이력 등)을 이용하여 평가함

출처: 농림수산업자신용보증기금 '알기 쉬운 청년 농신보'"
직업 상 현장교육을 받기 어렵습니다. 귀농에 대해 공부를 하고 싶은데 다른 방법은 없나요?,"귀농교육은 온라인교육과 오프라인교육이 있습니다.
온라인교육은 시간과 장소의 제한 없이 귀농희망자들이 편리하게 강의를 수강할 수 있는 장점이 있습니다. 온라인교육은 농업교육포털（www.agriedu.net）과 농촌진흥청 농촌인적자원개 발센터（http://hrd.rda.go.kr）에서 수강하실 수 있습니다.
귀농 농업창업 및 주택구입지원사업 신청대상자 조건 중 하나인 귀농영농교육 100시간 이상 이수 관련하여, 온라인교육은 수료시간의 50% 범위 내에서 최대 40시간까지만 인정됩니다.

출처 : 귀농귀촌 종합상담 매뉴얼"
